Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
135,2.125,3.375,-1.875,-0.08935547,-0.06591797,1.017578,0.1523438,-0.01953125,-0.5029297
137,1.875,3.3125,-2,-0.08154297,-0.08935547,0.9985352,0.1523438,-0.01953125,-0.5029297
138,1.75,3.875,-0.4375,-0.07373047,-0.05419922,0.9946289,0.1523438,-0.01953125,-0.5029297
140,1.5625,4.3125,-0.875,-0.06982422,-0.06201172,1.005859,0.1523438,-0.01269531,-0.5102539
141,1.875,4.375,-0.625,-0.06982422,-0.07373047,1.001953,0.1523438,-0.01269531,-0.5102539
143,1.75,4.5625,-0.0625,-0.05810547,-0.07763672,0.9946289,0.1523438,-0.01269531,-0.5102539
144,1.375,4.3125,0.1875,-0.06201172,-0.06982422,1.001953,0.1523438,-0.01269531,-0.5102539
146,1.5625,3.5,0.75,-0.05419922,-0.06591797,0.9985352,0.1459961,-0.02832031,-0.5029297
147,1.1875,3.375,0.75,-0.06982422,-0.08935547,0.9907227,0.1459961,-0.02832031,-0.5029297
149,0.4375,3.3125,1.875,-0.06591797,-0.1010742,0.9790039,0.1459961,-0.02832031,-0.5029297
150,-0.375,2.625,1.875,-0.06201172,-0.08544922,1.009766,0.1479492,-0.02392578,-0.4960938
152,0.0625,2.1875,2.125,-0.05029297,-0.08544922,1.005859,0.1479492,-0.02392578,-0.4960938
153,-0.0625,1.6875,2.1875,-0.05419922,-0.08544922,1.001953,0.1479492,-0.02392578,-0.4960938
155,0.375,1.125,2,-0.04638672,-0.06591797,0.9985352,0.1479492,-0.01708984,-0.5078125
156,0.3125,0.5,1.6875,-0.06591797,-0.09326172,0.9829102,0.1479492,-0.01708984,-0.5078125
158,-0.4375,-0.375,1.875,-0.04638672,-0.07763672,0.9907227,0.1479492,-0.01708984,-0.5078125
159,-0.3125,-0.5625,2.125,-0.05029297,-0.08154297,1.017578,0.1479492,-0.01708984,-0.5078125
161,-0.5,-0.4375,1.75,-0.05419922,-0.07763672,0.9985352,0.1479492,-0.01708984,-0.5078125
162,-0.9375,-0.5,0.875,-0.06201172,-0.07373047,1.013672,0.1479492,-0.01708984,-0.5078125
164,-0.0625,-0.6875,1,-0.05810547,-0.08154297,1.013672,0.1479492,-0.01708984,-0.5078125
165,0.5625,-0.8125,1,-0.05029297,-0.06982422,1.013672,0.1616211,-0.02392578,-0.5029297
167,0.6875,-0.9375,0.625,-0.05419922,-0.09716797,0.9985352,0.1616211,-0.02392578,-0.5029297
168,0.875,-0.9375,-0.3125,-0.05810547,-0.09326172,0.9946289,0.1616211,-0.02392578,-0.5029297
170,0.3125,-1.4375,-0.375,-0.05419922,-0.06591797,1.001953,0.1547852,-0.02587891,-0.5078125
171,0.6875,-0.8125,-1,-0.06591797,-0.06591797,0.9985352,0.1547852,-0.02587891,-0.5078125
173,0.5,-1.1875,-1.375,-0.06591797,-0.06982422,0.9946289,0.1547852,-0.02587891,-0.5078125
174,0.8125,-0.8125,-0.6875,-0.05810547,-0.07373047,1.005859,0.1503906,-0.006347656,-0.5053711
176,1.0625,-1.375,-1.3125,-0.05419922,-0.06982422,0.9985352,0.1503906,-0.006347656,-0.5053711
177,0.3125,-1.5,-1.5,-0.07373047,-0.05810547,1.009766,0.1503906,-0.006347656,-0.5053711
179,0.5,-1.3125,-1.75,-0.06591797,-0.05029297,1.013672,0.1503906,-0.006347656,-0.5053711
180,0.625,-1.75,-1.1875,-0.07373047,-0.08154297,1.009766,0.1503906,-0.02148438,-0.5053711
182,0.3125,-2,-1.625,-0.06591797,-0.06982422,1.001953,0.1503906,-0.02148438,-0.5053711
183,0.1875,-2,-1.4375,-0.05810547,-0.08544922,0.9985352,0.1503906,-0.02148438,-0.5053711
185,-0.625,-1.8125,-1.5,-0.07373047,-0.06591797,0.9946289,0.1459961,-0.02148438,-0.5029297
186,-0.25,-1.9375,-1.1875,-0.05810547,-0.06982422,1.009766,0.1459961,-0.02148438,-0.5029297
