Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
-3.38139,5.305918,50.3652
-3.196116,5.27475,51.26306
-3.019804,5.290317,52.12916
-2.817136,5.315345,53.02437
-2.511437,5.319073,53.97656
-2.204701,5.261615,55.0066
-1.981678,5.024436,56.11548
-1.892242,4.611387,57.24865
-2.048884,4.029965,58.391
-2.365228,3.285863,59.50221
-2.750788,2.441643,60.5847
-3.151654,1.57216,61.67245
-3.555548,0.7267807,62.76243
-3.900401,0.1416976,63.81491
-4.132771,-0.1749939,64.76378
-4.300925,-0.273838,65.61993
-4.422923,-0.2611733,66.42344
-4.52763,-0.1332719,67.20097
-4.503268,0.07742295,67.94203
-4.443307,0.4129708,68.5668
-4.325048,0.7675438,69.04304
-4.190468,1.143723,69.37481
-4.058379,1.559421,69.58273
-3.949196,2.024283,69.66824
-3.889426,2.514842,69.65663
-3.909435,3.007967,69.6115
-4.02814,3.444943,69.62538
-4.163158,3.771524,69.73993
-4.226707,4.057889,69.9315
-4.292676,4.301726,70.21953
-4.253472,4.514508,70.62914
-4.029266,4.655659,71.16554
-3.614224,4.700325,71.83556
-3.066588,4.627691,72.61169
-2.444024,4.396808,73.42123
-1.782293,4.065251,74.163
-1.161072,3.687932,74.80325
-0.6349927,3.304632,75.33091
-0.2106703,3.004404,75.76623
0.1049899,2.818077,76.1017
0.2838387,2.808151,76.43989
0.4024643,2.88672,76.87848
0.6088085,3.035368,77.42918
0.9050584,3.184789,78.1343
1.302341,3.24649,78.98325
1.765984,3.197974,79.88981
2.191822,2.985636,80.79366
2.536948,2.620818,81.6485
2.835168,2.106632,82.42168
3.109122,1.53071,83.10029
3.389612,0.9700107,83.68455
3.602349,0.4562159,84.16302
3.693456,0.01699714,84.56041
3.710541,-0.2663535,84.92263
3.697466,-0.3989688,85.2552
3.617044,-0.4074634,85.57719
3.599505,-0.3729836,85.87795
3.589477,-0.2586507,86.16872
3.751237,-0.1626031,86.50064
4.023727,-0.110084,86.86319
4.264472,-0.1709433,87.2788
4.478221,-0.3887664,87.7252
4.702435,-0.5899405,88.15168
4.933496,-0.8180787,88.53405
5.210708,-1.025856,88.82447
5.430963,-1.223626,89.02097
5.611552,-1.302775,89.09926
5.81418,-1.297994,89.13178
5.939082,-1.21887,89.19882
6.100745,-1.072441,89.25935
6.234981,-0.8554509,89.33674
6.418578,-0.6312621,89.46429
6.66446,-0.3925792,89.63778
6.968115,-0.1736368,89.84077
7.274994,0.02851585,90.01917
7.557786,0.1535638,90.15141
7.870467,0.2884216,90.20326
8.182846,0.4383217,90.1801
8.140522,0.5808966,90.09339
8.253987,0.8328393,89.96836
8.56085,0.9537506,89.88043
8.849381,1.167505,89.72077
9.055454,1.447927,89.57137
9.304886,1.795605,89.39926
9.535477,2.159368,89.19234
9.705093,2.486367,88.95502
9.840127,2.809918,88.67528
9.994502,3.165885,88.34983
10.14479,3.558788,87.95622
10.29078,3.948015,87.5058
10.40122,4.255778,86.99785
10.46522,4.473815,86.43557
