Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
469,0.125,-0.25,-0.0625,0.05224609,-0.08154297,1.013184,-0.2197266,0.1298828,-0.418457
470,-0.0625,-0.3125,0.3125,0.04833984,-0.08154297,0.9858398,-0.2197266,0.1298828,-0.418457
474,0.1875,-0.0625,0,0.05615234,-0.09375,0.9936523,-0.2011719,0.125,-0.4311523
475,0.125,0.1875,0.125,0.06396484,-0.06591797,1.009277,-0.2011719,0.125,-0.4311523
479,0.125,0.0625,-0.0625,0.04443359,-0.08154297,1.005371,-0.2011719,0.125,-0.4311523
480,0.25,-0.1875,0.125,0.06787109,-0.06591797,1.005371,-0.2143555,0.1123047,-0.4262695
484,0.125,0.0625,0,0.04443359,-0.07373047,1.001465,-0.2143555,0.1123047,-0.4262695
485,-0.3125,-0.125,0.125,0.04833984,-0.08544922,0.9897461,-0.2143555,0.1123047,-0.4262695
489,0.125,0,-0.0625,0.06005859,-0.09765625,1.021484,-0.206543,0.1225586,-0.434082
490,0,-0.125,-0.1875,0.06005859,-0.05810547,0.9936523,-0.206543,0.1225586,-0.434082
494,0,-0.0625,0,0.05615234,-0.08544922,0.9819336,-0.206543,0.1225586,-0.434082
495,0.1875,0.1875,-0.1875,0.04833984,-0.06201172,1.009277,-0.206543,0.1225586,-0.434082
499,0.0625,-0.0625,-0.125,0.04833984,-0.06982422,0.9975586,-0.206543,0.1225586,-0.434082
500,-0.125,0.0625,0.0625,0.05224609,-0.09375,1.001465,-0.206543,0.1225586,-0.434082
504,0.125,-0.125,0.0625,0.05615234,-0.09375,0.9858398,-0.206543,0.1225586,-0.434082
505,-0.0625,-0.1875,-0.1875,0.04833984,-0.05810547,0.9975586,-0.2089844,0.125,-0.4233398
509,0,0,0,0.05615234,-0.06982422,1.005371,-0.2089844,0.125,-0.4233398
510,0,0.0625,0.125,0.05224609,-0.06591797,1.009277,-0.2089844,0.125,-0.4233398
514,-0.0625,-0.0625,0.25,0.04052734,-0.04980469,0.9858398,-0.2089844,0.1196289,-0.4311523
515,0.1875,-0.0625,-0.0625,0.04443359,-0.07763672,1.025391,-0.2089844,0.1196289,-0.4311523
519,0.25,0.3125,-0.0625,0.06396484,-0.07373047,1.005371,-0.2089844,0.1196289,-0.4311523
520,0,0,-0.0625,0.04052734,-0.07763672,0.9897461,-0.2119141,0.1171875,-0.4287109
524,0.0625,-0.0625,-0.125,0.05224609,-0.08154297,1.001465,-0.2119141,0.1171875,-0.4287109
525,0.0625,-0.25,0,0.05615234,-0.08154297,0.9936523,-0.2119141,0.1171875,-0.4287109
529,0,-0.125,0,0.04443359,-0.08154297,0.9858398,-0.2119141,0.1171875,-0.4287109
530,0.0625,-0.0625,0.25,0.06396484,-0.08154297,1.001465,-0.2119141,0.1171875,-0.4287109
534,0.1875,-0.125,0.0625,0.06396484,-0.08154297,1.01709,-0.2119141,0.1171875,-0.4287109
535,0,0.0625,0.0625,0.06787109,-0.08154297,0.9736328,-0.2119141,0.1171875,-0.4287109
539,0.125,0,0.0625,0.04833984,-0.06982422,1.025391,-0.2119141,0.1171875,-0.4233398
540,0.0625,0.0625,-0.0625,0.06005859,-0.09375,1.021484,-0.2119141,0.1171875,-0.4233398
544,0.0625,-0.0625,-0.125,0.04833984,-0.08154297,0.9858398,-0.2119141,0.1171875,-0.4233398
545,0.25,0,0.125,0.05224609,-0.07763672,1.005371,-0.2119141,0.1196289,-0.4365234
549,-0.125,-0.0625,0,0.04052734,-0.06591797,0.9975586,-0.2119141,0.1196289,-0.4365234
550,-0.0625,0,-0.125,0.04833984,-0.09375,0.9858398,-0.2119141,0.1196289,-0.4365234
554,0.125,0.0625,0,0.04833984,-0.06982422,1.013184,-0.2143555,0.109375,-0.434082
555,0.0625,0,0,0.05615234,-0.06591797,0.9858398,-0.2143555,0.109375,-0.434082
559,0,0,0.0625,0.04833984,-0.05810547,1.001465,-0.2143555,0.109375,-0.434082
560,0.25,0.25,0.0625,0.05224609,-0.08154297,0.9897461,-0.2143555,0.109375,-0.434082
564,0,-0.0625,0,0.05615234,-0.09375,0.9819336,-0.2143555,0.109375,-0.434082
565,0.125,-0.0625,-0.125,0.06005859,-0.09765625,1.001465,-0.2143555,0.109375,-0.434082
569,0.125,0,0,0.06005859,-0.07373047,0.9975586,-0.2143555,0.109375,-0.434082
570,0.125,0,-0.0625,0.06396484,-0.06591797,1.001465,-0.2119141,0.1147461,-0.4208984
574,0.375,0.0625,0.0625,0.04833984,-0.07763672,1.001465,-0.2119141,0.1147461,-0.4208984
575,0.1875,0.125,-0.0625,0.06005859,-0.08154297,0.9819336,-0.2119141,0.1147461,-0.4208984
579,0.125,0.0625,0,0.06005859,-0.08544922,0.9936523,-0.2119141,0.1274414,-0.4233398
580,0.25,0,0,0.05224609,-0.07763672,0.9936523,-0.2119141,0.1274414,-0.4233398
584,0,-0.0625,0,0.05224609,-0.06201172,0.9897461,-0.2119141,0.1274414,-0.4233398
585,0,0.1875,0,0.05615234,-0.08544922,0.9936523,-0.2041016,0.1123047,-0.4414063
589,0.25,-0.1875,-0.125,0.04833984,-0.06591797,1.013184,-0.2041016,0.1123047,-0.4414063
590,0.125,0,-0.125,0.06005859,-0.08154297,0.9736328,-0.2041016,0.1123047,-0.4414063
594,0,0.3125,0,0.06787109,-0.06982422,0.9936523,-0.2041016,0.1123047,-0.4414063
596,0,-0.125,0.125,0.05224609,-0.06201172,0.9541016,-0.2041016,0.1123047,-0.4414063
600,0,0.125,-0.0625,0.03271484,-0.07763672,1.009277,-0.2041016,0.1123047,-0.4414063
601,0.0625,-0.125,-0.0625,0.05615234,-0.09375,0.9858398,-0.2041016,0.1123047,-0.4414063
605,0.0625,0.125,-0.0625,0.05615234,-0.08154297,1.01709,-0.2041016,0.1225586,-0.4311523
606,-0.0625,0,0,0.06396484,-0.08154297,0.9819336,-0.2041016,0.1225586,-0.4311523
610,0.1875,0.0625,0,0.05224609,-0.06591797,0.9819336,-0.2041016,0.1225586,-0.4311523
611,0.25,0,0.0625,0.06396484,-0.07373047,1.005371,-0.2089844,0.1171875,-0.4311523
615,0,-0.25,0.125,0.06787109,-0.08544922,1.013184,-0.2089844,0.1171875,-0.4311523
616,0,0.375,-0.0625,0.05615234,-0.08154297,0.9858398,-0.2089844,0.1171875,-0.4311523
