Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
1314,0.8048958,1.113319,-0.6671656
1319,0.7659076,1.13086,-0.7093942
1324,0.7717106,1.166559,-0.8070435
1329,0.7576982,1.159513,-0.8142273
1334,0.743923,1.148835,-0.8004469
1339,0.699283,1.130558,-0.7275397
1344,0.6749573,1.116376,-0.7208688
1349,0.6817709,1.123496,-0.734749
1354,0.6332403,1.119459,-0.6932802
1359,0.6681295,1.105782,-0.7105054
1364,0.6338371,1.09821,-0.6444304
1369,0.5960906,1.080169,-0.5784378
1374,0.6032008,1.083628,-0.5643634
1379,0.6173267,1.111522,-0.5361011
1384,0.6727055,1.126073,-0.5879379
1389,0.6965473,1.130073,-0.6506302
1394,0.7064916,1.140922,-0.6994268
1399,0.7234111,1.162328,-0.7446101
1406,0.8032116,1.184165,-0.7926101
1411,0.8029963,1.215636,-0.7923918
1416,0.8371187,1.251247,-0.8477264
1421,0.7396793,1.285073,-0.7821233
1426,0.683742,1.29862,-0.7721778
1431,0.6419125,1.294785,-0.7621814
1436,0.6350397,1.270281,-0.7658922
1441,0.5902339,1.238295,-0.7245857
1446,0.5522839,1.192442,-0.7007139
1451,0.5418084,1.143554,-0.729032
1456,0.4689888,1.107952,-0.6879376
1461,0.4515846,1.09386,-0.6881614
1466,0.4687928,1.090595,-0.7194856
1471,0.5099553,1.101684,-0.7959834
1476,0.4992681,1.091242,-0.8241093
1481,0.4649157,1.097706,-0.754466
1486,0.4753853,1.122196,-0.7402751
1491,0.4269235,1.153097,-0.6706898
1496,0.3747111,1.184128,-0.6291466
1501,0.3673038,1.212142,-0.6536142
1506,0.3389516,1.250489,-0.6677897
1511,0.3040498,1.257253,-0.6576609
1516,0.3109299,1.25732,-0.6680771
1521,0.2349414,1.2567,-0.5814803
1526,0.2142792,1.253046,-0.5537354
1531,0.1832141,1.245847,-0.5191136
1536,0.1904913,1.224869,-0.5015829
1541,0.2152285,1.200472,-0.487375
1546,0.2468112,1.176126,-0.4870966
1551,0.2711717,1.155297,-0.5078796
1556,0.2434117,1.144646,-0.4906956
1561,0.2155627,1.120008,-0.4875079
1567,0.1767439,1.10592,-0.5298755
1572,0.1240957,1.109193,-0.547866
1577,0.06463965,1.080942,-0.5624462
1582,0.06057854,1.063474,-0.6324373
1587,0.0218226,1.056273,-0.6677699
1592,0.0006444957,1.05615,-0.688948
1597,-0.02388063,1.042011,-0.7031597
1602,-0.09003623,1.034633,-0.6757783
1607,-0.1699282,1.037751,-0.6135554
1612,-0.1283187,1.03443,-0.6551408
1617,-0.1246389,1.041472,-0.6306351
1622,-0.1383156,1.048437,-0.592299
1627,-0.1797097,1.048321,-0.5297282
1632,-0.1970209,1.051774,-0.5089093
1637,-0.2491304,1.051625,-0.470918
1642,-0.2943092,1.051519,-0.4398574
1647,-0.3187555,1.03393,-0.4435301
1652,-0.3329106,1.012812,-0.4715741
1657,-0.3678111,1.002188,-0.4683512
1662,-0.395635,1.00914,-0.4476354
1667,-0.3889792,0.9950237,-0.4929926
