Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
408,-0.4375,3.125,1.4375,0.01904297,-0.06005859,1.012695,0.2075195,0.03857422,-0.4536133
409,-0.875,3.625,1.8125,0.01513672,-0.05224609,0.9780273,0.2075195,0.03857422,-0.4487305
413,-0.4375,3.5625,1.9375,0.02294922,-0.06396484,0.9741211,0.2075195,0.03857422,-0.4487305
414,-0.1875,4.125,1.8125,0.02294922,-0.04443359,1.005371,0.2075195,0.03857422,-0.4487305
418,0.1875,4.25,1.6875,0,-0.06005859,1.001465,0.2075195,0.03857422,-0.4487305
419,-0.0625,4.375,1.5625,0.01123047,-0.06787109,1.005371,0.2099609,0.03369141,-0.4462891
423,-0.375,4.3125,1.875,0.01123047,-0.07177734,0.9780273,0.2099609,0.03369141,-0.4462891
424,-0.9375,4.3125,2,0.02685547,-0.06396484,0.9858398,0.2099609,0.03369141,-0.4462891
428,-1.4375,4.3125,1.75,0.01513672,-0.05224609,0.9707031,0.2124023,0.03369141,-0.4384766
429,-1.3125,3.625,1.3125,0.003417969,-0.06005859,0.9819336,0.2124023,0.03369141,-0.4384766
433,-1.1875,3.25,0.6875,0.01904297,-0.06005859,0.9897461,0.2124023,0.03369141,-0.4384766
435,-0.5625,2.6875,0.1875,0.02294922,-0.05224609,0.9741211,0.2050781,0.03125,-0.4414063
439,-0.625,2.25,-0.0625,0.007324219,-0.06787109,1.001465,0.2050781,0.03125,-0.4414063
440,-0.5625,2.25,-0.25,-0.0078125,-0.07177734,1.005371,0.2050781,0.03125,-0.4414063
444,-0.875,2.4375,-0.375,0.003417969,-0.05615234,1.016602,0.2050781,0.03125,-0.4414063
445,-0.9375,2.875,-0.5,0.01904297,-0.05224609,1.009277,0.2124023,0.03857422,-0.456543
449,-0.5625,2.9375,-0.3125,0.01904297,-0.05224609,1.020508,0.2124023,0.03857422,-0.456543
450,-0.5,3.25,-0.3125,0.01904297,-0.06005859,1.005371,0.2124023,0.03857422,-0.456543
454,-0.25,3.4375,-0.4375,0.007324219,-0.06005859,1.020508,0.2075195,0.04101563,-0.4462891
455,-0.125,3.9375,-0.25,-0.03173828,-0.05615234,0.9858398,0.2075195,0.04101563,-0.4462891
459,-0.5,4,-0.125,-0.0078125,-0.08349609,1.009277,0.2075195,0.04101563,-0.4462891
460,-0.9375,3.8125,-0.375,0,-0.04833984,1.020508,0.2075195,0.04101563,-0.4462891
464,-1,4,-0.375,0.007324219,-0.03662109,0.9975586,0.2075195,0.04101563,-0.4462891
465,-0.9375,3.875,0,0,-0.06787109,1.009277,0.2075195,0.04101563,-0.4462891
469,-1.1875,3.9375,0,0.01904297,-0.05224609,1.001465,0.2075195,0.04101563,-0.4462891
470,-1.5,4.375,0.375,0.01123047,-0.06787109,1.012695,0.2075195,0.02880859,-0.4438477
474,-1.5625,4,0.875,0.01904297,-0.05224609,1.009277,0.2075195,0.02880859,-0.4438477
475,-1.5625,4.0625,1,0.007324219,-0.06787109,1.009277,0.2075195,0.02880859,-0.4438477
